ctry,year,nace2,nace4,share4,rev4
BG,2018,10,1011,0.012777785696976606,4.4819999999999994e8
BG,2018,10,1012,0.012444229042236254,4.3649999999999994e8
BG,2018,10,1013,0.014080652288569268,4.9389999999999994e8
BG,2018,10,1020,0.0018388379684404087,6.449999999999999e7
BG,2018,10,1031,0.00040197853263581023,1.4099999999999998e7
BG,2018,10,1032,0.0006671133094807064,2.3399999999999996e7
BG,2018,10,1039,0.012444229042236254,4.3649999999999994e8
BG,2018,10,1041,0.017008538480179036,5.966e8
BG,2018,10,1042,0.0001910110757914843,6.699999999999999e6
BG,2018,10,1051,0.01549185352016307,5.434e8
BG,2018,10,1052,0.0015651504568585804,5.49e7
BG,2018,10,1061,0.00617795216532699,2.1670093912709218e8
BG,2018,10,1062,0.00823350303471414,2.888024691971505e8
BG,2018,10,1071,0.013664419198038572,4.793e8
BG,2018,10,1072,0.005262782774792239,1.8459999999999997e8
BG,2018,10,1073,0.00011118555158011772,3.899999999999999e6
BG,2018,10,1081,9.124871341873657e-5,3.200685496232313e6
BG,2018,10,1082,0.007150086240075263,2.5079999999999997e8
BG,2018,10,1083,0.0016649323621227886,5.839999999999999e7
BG,2018,10,1084,0.0012030846863284536,4.22e7
BG,2018,10,1085,0.001365586646330164,4.79e7
BG,2018,10,1086,0.0002878253582747889,1.0095906179525634e7
BG,2018,10,1089,0.006118056248485453,2.146e8
BG,2018,10,1091,0.006557096631647968,2.2999999999999997e8
BG,2018,10,1092,0.0009835644947471954,3.45e7
BG,2018,11,1101,0.00631762005901387,2.216e8
BG,2018,11,1102,0.0038430288084615053,1.348e8
BG,2018,11,1103,1.4254557894886892e-5,500000.00000000006
BG,2018,11,1104,2.924704113534196e-8,1025.8838383838222
BG,2018,11,1105,0.008264792667455419,2.899e8
BG,2018,11,1106,0.0005558985108594473,1.9498974116161402e7
BG,2018,11,1107,0.011283908029592463,3.958e8
BG,2018,12,1200,0.01202514504012658,4.218e8
BG,2018,13,1310,0.00863541117272248,3.0290000000000006e8
BG,2018,13,1320,0.0004989095263210413,1.7500000000000004e7
BG,2018,13,1330,0.00019101107579148435,6.700000000000001e6
BG,2018,13,1391,0.00018816016421250697,6.600000000000001e6
BG,2018,13,1392,0.004136672701096176,1.4510000000000003e8
BG,2018,13,1393,0.0003421093894772854,1.2e7
BG,2018,13,1394,0.00011403646315909513,4.0000000000000005e6
BG,2018,13,1395,0.00015394922526477844,5.400000000000001e6
BG,2018,13,1396,0.0005131640842159282,1.8000000000000004e7
BG,2018,13,1399,0.0008951862357988968,3.1400000000000004e7
BG,2018,14,1411,2.5659982326126325e-5,900062.3700623701
BG,2018,14,1412,0.0023863783563297485,8.370580041580042e7
BG,2018,14,1413,0.019994828450347103,7.013486001386001e8
BG,2018,14,1414,0.008456389731032299,2.966205544005544e8
BG,2018,14,1419,0.005676558312368613,1.9911379764379764e8
BG,2018,14,1420,8.553327442042108e-6,300020.79002079
BG,2018,14,1431,0.0018560720549231373,6.510451143451142e7
BG,2018,14,1439,0.0027370647814534744,9.60066528066528e7
BG,2018,15,1511,0.00013969466736989152,4.9e6
BG,2018,15,1512,0.0008951862357988966,3.14e7
BG,2018,15,1520,0.00357789403161661,1.2550000000000001e8
BG,2018,16,1610,0.004775276894787108,1.675e8
BG,2018,16,1621,0.0055735321369007745,1.9550000000000003e8
BG,2018,16,1622,7.412370105341182e-5,2.6e6
BG,2018,16,1623,0.000678516955796616,2.38e7
BG,2018,16,1624,0.002243667412655197,7.870000000000001e7
BG,2018,16,1629,0.002645645945291007,9.28e7
BG,2018,17,1711,0.00262573331259195,9.210153453913154e7
BG,2018,17,1712,0.0035322356979991852,1.2389846546086842e8
BG,2018,17,1721,0.007349650050603681,2.5780000000000003e8
BG,2018,17,1722,0.004535800322153009,1.591e8
BG,2018,17,1723,0.0005473750231636565,1.92e7
BG,2018,17,1724,2.2807292631819022e-5,799999.9999999999
BG,2018,17,1729,0.0015936595726483544,5.59e7
BG,2018,18,1811,0.0005017604379000185,1.76e7
BG,2018,18,1812,0.009727310307470814,3.412e8
BG,2018,18,1813,0.00048750588000513165,1.71e7
BG,2018,18,1814,0.00015102262576777566,5.297345132743383e6
BG,2018,18,1820,5.709391949757372e-5,2.0026548672566446e6
BG,2018,19,1920,0.10329098490103843,3.623086231881274e9
BG,2018,20,2011,0.0012686556526449334,4.450000000000001e7
BG,2018,20,2012,3.6624249080287944e-5,1.28465047286472e6
BG,2018,20,2013,0.007100793161467039,2.4907097132819858e8
BG,2018,20,2014,0.002409020284235885,8.450000000000001e7
BG,2018,20,2015,0.009157127991675338,3.212e8
BG,2018,20,2016,0.002531609482131912,8.88e7
BG,2018,20,2020,0.0014279187454094371,5.008639187335412e7
BG,2018,20,2030,0.0032015737031915958,1.1230000000000001e8
BG,2018,20,2041,0.006420252875857055,2.2519999999999997e8
BG,2018,20,2042,0.003714737787407524,1.3030000000000001e8
BG,2018,20,2051,0.0005587786694795662,1.9600000000000004e7
BG,2018,20,2052,0.00030504753895057945,1.07e7
BG,2018,20,2053,0.002773936966344989,9.730000000000001e7
BG,2018,20,2059,0.001944321696862572,6.82e7
BG,2018,20,2060,0.0012988179073049654,4.5557986325582616e7
BG,2018,21,2110,0.004792099243251337,1.680900691059055e8
BG,2018,21,2120,0.013134825282249333,4.607236990128187e8
BG,2018,22,2211,2.8510689314212995e-6,100005.51937299922
BG,2018,22,2219,0.009921719881346124,3.480192074180373e8
BG,2018,22,2221,0.011983042718763723,4.2032319792471576e8
BG,2018,22,2222,0.013288832289354678,4.6612572579754937e8
BG,2018,22,2223,0.010343678083196474,3.628200242852411e8
BG,2018,22,2229,0.006115542857898689,2.1451183905508336e8
BG,2018,23,2311,0.0034259269362812,1.201695261804675e8
BG,2018,23,2312,0.00320727552634955,1.125e8
BG,2018,23,2313,0.007808646814819038,2.739e8
BG,2018,23,2314,3.70551604309709e-5,1.2997653348569507e6
BG,2018,23,2319,0.00019956381052841645,7.0e6
BG,2018,23,2320,0.0004048294442147876,1.4199999999999998e7
BG,2018,23,2331,0.003298504696876826,1.1569999999999999e8
BG,2018,23,2332,0.0006927715136915028,2.4299999999999996e7
BG,2018,23,2341,2.8509115789773776e-5,999999.9999999999
BG,2018,23,2342,0.0010063717873790145,3.53e7
BG,2018,23,2343,4.472416260870126e-6,156876.70897441098
BG,2018,23,2344,0.0006549636302282389,2.2973831775700822e7
BG,2018,23,2349,4.846549684261542e-5,1.6999999999999998e6
BG,2018,23,2351,0.00496913888215757,1.743e8
BG,2018,23,2352,0.0009208444400096929,3.2299999999999996e7
BG,2018,23,2361,0.002540162216868844,8.91e7
BG,2018,23,2362,0.0017190996821233589,6.03e7
BG,2018,23,2363,0.005616295810585434,1.9699999999999997e8
BG,2018,23,2364,0.0005929896084272946,2.08e7
BG,2018,23,2369,0.0009778626715892407,3.43e7
BG,2018,23,2370,0.0014197539663307341,4.979999999999999e7
BG,2018,23,2391,0.0003221530084244437,1.13e7
BG,2018,23,2399,0.0025572676863427077,8.969999999999999e7
BG,2018,24,2410,0.020349806850740525,7.138e8
BG,2018,24,2420,0.009924023206420253,3.481e8
BG,2018,24,2431,0.0002995514808986345,1.0507217519740954e7
BG,2018,24,2433,0.0014368594358045985,5.04e7
BG,2018,24,2434,0.0007889595341978121,2.7673939101289555e7
BG,2018,24,2441,5.6406202693216624e-5,1.978532168768613e6
BG,2018,24,2442,0.010585434692743005,3.713e8
BG,2018,24,2443,0.014043590438042564,4.926e8
BG,2018,24,2444,0.08711245420723276,3.0556e9
BG,2018,24,2445,0.00040597868117402136,1.424031121020056e7
BG,2018,24,2451,0.002314940202129631,8.12e7
BG,2018,24,2452,0.0007811497726398015,2.7399999999999996e7
BG,2018,24,2453,0.00034496030105626277,1.2100000000000002e7
BG,2018,24,2454,9.122917052727609e-5,3.1999999999999995e6
